State,County,City,Neighborhood,Link
CA,Santa Clara,San Jose,Albanese Circle,https://nextdoor.com/neighborhood/albanesecircle--san-jose--ca/
CA,Santa Clara,San Jose,Almaden,https://nextdoor.com/neighborhood/almadenca--san-jose--ca/
CA,Santa Clara,San Jose,Alvin/Burdette,https://nextdoor.com/neighborhood/7alvinburdette--san-jose--ca/
CA,Santa Clara,San Jose,Alviso,https://nextdoor.com/neighborhood/4alviso--san-jose--ca/
CA,Santa Clara,San Jose,Anne Darling - Little Portugal North,https://nextdoor.com/neighborhood/3littleportugalnorth--san-jose--ca/
CA,Santa Clara,San Jose,Arbuckle,https://nextdoor.com/neighborhood/5arbuckle--san-jose--ca/
CA,Santa Clara,San Jose,Archer - North 4th,https://nextdoor.com/neighborhood/archer4th--san-jose--ca/
CA,Santa Clara,San Jose,Ascent,https://nextdoor.com/neighborhood/ascentca--san-jose--ca/
CA,Santa Clara,San Jose,Autumnvale,https://nextdoor.com/neighborhood/4autumnvale--san-jose--ca/
CA,Santa Clara,San Jose,Avana Skyway,https://nextdoor.com/neighborhood/avanaskyway--san-jose--ca/
CA,Santa Clara,San Jose,Avenida Espana,https://nextdoor.com/neighborhood/2avenidaespana--san-jose--ca/
CA,Santa Clara,San Jose,AvenueOne,https://nextdoor.com/neighborhood/avenueone--san-jose--ca/
CA,Santa Clara,San Jose,Baker West,https://nextdoor.com/neighborhood/1bakerwest--san-jose--ca/
CA,Santa Clara,San Jose,Baltic Way,https://nextdoor.com/neighborhood/balticway--san-jose--ca/
CA,Santa Clara,San Jose,Bascom Ave,https://nextdoor.com/neighborhood/bascomave--san-jose--ca/
CA,Santa Clara,San Jose,Basking Ridge,https://nextdoor.com/neighborhood/2baskingridge--san-jose--ca/
CA,Santa Clara,San Jose,Baton Rouge,https://nextdoor.com/neighborhood/batonrougeca--san-jose--ca/
CA,Santa Clara,San Jose,Bel Aire-Hillstone,https://nextdoor.com/neighborhood/8belaire-hillstone--san-jose--ca/
CA,Santa Clara,San Jose,Bella Villagio,https://nextdoor.com/neighborhood/bellavillagio--san-jose--ca/
CA,Santa Clara,San Jose,Berryessa,https://nextdoor.com/neighborhood/berryessaca--san-jose--ca/
CA,Santa Clara,San Jose,Berry Park,https://nextdoor.com/neighborhood/10berrypark2--san-jose--ca/
CA,Santa Clara,San Jose,Betty Ann,https://nextdoor.com/neighborhood/bettyann--san-jose--ca/
CA,Santa Clara,San Jose,Bevin  Brook,https://nextdoor.com/neighborhood/7bevinbrook--san-jose--ca/
CA,Santa Clara,San Jose,Blackford NAC,https://nextdoor.com/neighborhood/blackfordnacsanjose--san-jose--ca/
CA,Santa Clara,San Jose,Blossom Hill,https://nextdoor.com/neighborhood/blossomhillca--san-jose--ca/
CA,Santa Clara,San Jose,Blossom  River,https://nextdoor.com/neighborhood/9blossomriver--san-jose--ca/
CA,Santa Clara,San Jose,Blossom Trails,https://nextdoor.com/neighborhood/blossomtrails--san-jose--ca/
CA,Santa Clara,San Jose,Blossom Valley,https://nextdoor.com/neighborhood/2blossomvalleyna--san-jose--ca/
CA,Santa Clara,San Jose,Blossom Village,https://nextdoor.com/neighborhood/10blossomvillage--san-jose--ca/
CA,Santa Clara,San Jose,Bonnett,https://nextdoor.com/neighborhood/9bonnett--san-jose--ca/
CA,Santa Clara,San Jose,Boulder,https://nextdoor.com/neighborhood/4boulder--san-jose--ca/
CA,Santa Clara,San Jose,Branham/Jarvis,https://nextdoor.com/neighborhood/9branhamjarvis--san-jose--ca/
CA,Santa Clara,San Jose,Branham-Kirk,https://nextdoor.com/neighborhood/9branhamkirk--san-jose--ca/
CA,Santa Clara,San Jose,Branham-Meridian,https://nextdoor.com/neighborhood/9branhammeridian--san-jose--ca/
CA,Santa Clara,San Jose,Brigadoon,https://nextdoor.com/neighborhood/8brigadoonsanjose--san-jose--ca/
CA,Santa Clara,San Jose,Brookfield,https://nextdoor.com/neighborhood/brookfieldsj--san-jose--ca/
CA,Santa Clara,San Jose,Brooktree,https://nextdoor.com/neighborhood/4brooktree--san-jose--ca/
CA,Santa Clara,San Jose,Brookvale/Chantel,https://nextdoor.com/neighborhood/brookvalechantel--san-jose--ca/
CA,Santa Clara,San Jose,Buena  Park,https://nextdoor.com/neighborhood/8buenapark--san-jose--ca/
CA,Santa Clara,San Jose,Buena Vista,https://nextdoor.com/neighborhood/buenavistasanjose--san-jose--ca/
CA,Santa Clara,San Jose,Burbank,https://nextdoor.com/neighborhood/6burbansanjose--san-jose--ca/
CA,Santa Clara,San Jose,Cadwallader,https://nextdoor.com/neighborhood/8cadwallader--san-jose--ca/
CA,Santa Clara,San Jose,Cahalan,https://nextdoor.com/neighborhood/10cahalan--san-jose--ca/
CA,Santa Clara,San Jose,Calero,https://nextdoor.com/neighborhood/2calero--san-jose--ca/
CA,Santa Clara,San Jose,California Gateway,https://nextdoor.com/neighborhood/4californiagateway--san-jose--ca/
CA,Santa Clara,San Jose,California Grove,https://nextdoor.com/neighborhood/2californiagrove--san-jose--ca/
CA,Santa Clara,San Jose,California Impressions,https://nextdoor.com/neighborhood/4californiaimpressions--san-jose--ca/
CA,Santa Clara,San Jose,California Oak Creek,https://nextdoor.com/neighborhood/8californiaoakcreek--san-jose--ca/
CA,Santa Clara,San Jose,California Renaissance,https://nextdoor.com/neighborhood/4renaissancesj--san-jose--ca/
CA,Santa Clara,San Jose,Calvert,https://nextdoor.com/neighborhood/calvert--san-jose--ca/
CA,Santa Clara,San Jose,Cambrian,https://nextdoor.com/neighborhood/9cambrian--san-jose--ca/
CA,Santa Clara,San Jose,Camden Village,https://nextdoor.com/neighborhood/10camdenvillage--san-jose--ca/
CA,Santa Clara,San Jose,Campagna Ca,https://nextdoor.com/neighborhood/campagnaca--san-jose--ca/
CA,Santa Clara,San Jose,Campbell Village,https://nextdoor.com/neighborhood/9campbellvillagesanjose--san-jose--ca/
CA,Santa Clara,San Jose,Campton Chase,https://nextdoor.com/neighborhood/10camptonchase--san-jose--ca/
CA,Santa Clara,San Jose,Canoas East,https://nextdoor.com/neighborhood/10canoaseast--san-jose--ca/
CA,Santa Clara,San Jose,Canoas Garden,https://nextdoor.com/neighborhood/6canoasgarden--san-jose--ca/
CA,Santa Clara,San Jose,Capewood,https://nextdoor.com/neighborhood/4capewood--san-jose--ca/
CA,Santa Clara,San Jose,Capitol Goss/Dobern,https://nextdoor.com/neighborhood/5capitolgossdobern--san-jose--ca/
CA,Santa Clara,San Jose,Capitol Village - Baroni,https://nextdoor.com/neighborhood/capitolvillagebaroni--san-jose--ca/
CA,Santa Clara,San Jose,Carlton Ave,https://nextdoor.com/neighborhood/9carlton--san-jose--ca/
CA,Santa Clara,San Jose,Carson,https://nextdoor.com/neighborhood/10carsonsj--san-jose--ca/
