State,County,City,Neighborhood,Link,Nextdoor ID,Geometry,Interests,Percentage of Homeowners,Number of Residents,Average Age,Attributes,Nearby Neighborhoods
CA,Santa Clara,San Jose,Albanese Circle,https://nextdoor.com/neighborhood/albanesecircle--san-jose--ca/,374270,"{""type"": ""Feature"", ""geometry"": {""type"": ""MultiPolygon"", ""coordinates"": [[[[-121.846314, 37.308618], [-121.844878, 37.309554], [-121.844877, 37.309554], [-121.84479299999998, 37.30954], [-121.84479199999998, 37.30954], [-121.84479199999998, 37.309539], [-121.844584, 37.309345], [-121.844584, 37.309344], [-121.84456599999999, 37.309275], [-121.84456499999999, 37.309273], [-121.84456399999999, 37.309272], [-121.84452699999997, 37.309219], [-121.84452499999998, 37.309217], [-121.84452399999998, 37.309216], [-121.84441099999998, 37.30915], [-121.84440999999998, 37.30915], [-121.84402, 37.308828], [-121.844019, 37.308827], [-121.843707, 37.308643], [-121.843706, 37.308642], [-121.84335799999997, 37.308489], [-121.84335699999997, 37.308488], [-121.84287599999999, 37.308329], [-121.84287499999999, 37.308329], [-121.84287499999999, 37.308328], [-121.84278, 37.308253], [-121.84277800000001, 37.308252], [-121.84277600000001, 37.308251], [-121.84277400000002, 37.30825], [-121.84227399999997, 37.308223], [-121.84227299999998, 37.308223], [-121.84197599999999, 37.308173], [-121.84197499999999, 37.308173], [-121.84038800000002, 37.30761], [-121.840123, 37.307489], [-121.84012200000001, 37.307489], [-121.83995199999998, 37.307388], [-121.839808, 37.307272], [-121.83980700000001, 37.307271], [-121.83967100000001, 37.307126], [-121.83967100000001, 37.307125], [-121.839606, 37.307024], [-121.839606, 37.307023], [-121.83951400000001, 37.306812], [-121.83951400000001, 37.306811], [-121.83948700000002, 37.3067], [-121.83948700000002, 37.306699], [-121.83947, 37.306477], [-121.83947, 37.306476], [-121.83948199999998, 37.306363], [-121.83948199999998, 37.306362], [-121.839902, 37.304623], [-121.83990299999999, 37.304622], [-121.83990299999999, 37.30462], [-121.839902, 37.304618], [-121.839901, 37.304616], [-121.83988, 37.304576], [-121.839878, 37.304574], [-121.839877, 37.304573], [-121.839875, 37.304572], [-121.83987300000001, 37.304571], [-121.83987100000002, 37.304571], [-121.83982400000002, 37.304567], [-121.83982200000003, 37.304567], [-121.83982000000003, 37.304568], [-121.83981799999998, 37.304569], [-121.839471, 37.304805], [-121.839112, 37.303574], [-121.839112, 37.303573], [-121.84165000000002, 37.301849], [-121.84165100000001, 37.301849], [-121.841699, 37.3019], [-121.841699, 37.301901], [-121.84169800000001, 37.301917], [-121.84169800000001, 37.301919], [-121.841699, 37.301921], [-121.8417, 37.301923], [-121.841701, 37.301925], [-121.84185000000002, 37.302083], [-121.84185100000002, 37.302084], [-121.84185300000001, 37.302085], [-121.84185500000001, 37.302085], [-121.841856, 37.302086], [-121.84187500000002, 37.302087], [-121.84187600000001, 37.302087], [-121.84187600000001, 37.302088], [-121.842492, 37.30274], [-121.842492, 37.302741], [-121.84232600000001, 37.302855], [-121.84232400000002, 37.302856], [-121.84232299999996, 37.302857], [-121.84225300000003, 37.302956], [-121.84225200000003, 37.302958], [-121.84225200000003, 37.30296], [-121.84224, 37.303027], [-121.842239, 37.303029], [-121.84224, 37.303031], [-121.84225600000002, 37.303104], [-121.84225700000002, 37.303106], [-121.84225800000002, 37.303107], [-121.84231799999998, 37.303194], [-121.84231999999997, 37.303195], [-121.84239500000001, 37.303265], [-121.842331, 37.303359], [-121.84233, 37.303361], [-121.84233, 37.303363], [-121.84231999999997, 37.303432], [-121.84231999999997, 37.303434], [-121.84232099999997, 37.303436], [-121.84233899999998, 37.303505], [-121.84233999999998, 37.303506], [-121.84233999999998, 37.303508], [-121.84238499999998, 37.303578], [-121.84238600000003, 37.30358], [-121.84238700000003, 37.303581], [-121.842491, 37.303669], [-121.84249299999999, 37.303671], [-121.84249499999999, 37.303671], [-121.84249699999998, 37.303672], [-121.84257200000002, 37.303675], [-121.84257400000001, 37.303675], [-121.84257600000001, 37.303675], [-121.842578, 37.303674], [-121.84263699999997, 37.303632], [-121.84263900000002, 37.303631], [-121.84264000000002, 37.303629], [-121.84264100000001, 37.303627], [-121.84264100000001, 37.303625], [-121.842646, 37.303588], [-121.84298899999999, 37.303386], [-121.84298999999999, 37.303386], [-121.84540099999998, 37.30591], [-121.844964, 37.306199], [-121.844963, 37.306201], [-121.84496100000001, 37.306202], [-121.84496000000001, 37.306204], [-121.84496000000001, 37.306206], [-121.84496000000001, 37.306207], [-121.84496000000001, 37.306209], [-121.84496000000001, 37.306211], [-121.84496100000001, 37.306213], [-121.84496200000001, 37.306214], [-121.84512899999999, 37.306402], [-121.84512999999998, 37.306403], [-121.84512899999999, 37.306403], [-121.84493700000002, 37.30653], [-121.84493600000002, 37.30653], [-121.84484099999997, 37.306498], [-121.84483899999998, 37.306498], [-121.84483699999998, 37.306498], [-121.84483499999999, 37.306498], [-121.844786, 37.306511], [-121.844784, 37.306512], [-121.84478200000001, 37.306513], [-121.84478100000001, 37.306514], [-121.84478000000001, 37.306516], [-121.84477900000002, 37.306517], [-121.844762, 37.306562], [-121.844761, 37.306564], [-121.844761, 37.306566], [-121.844761, 37.306568], [-121.84478000000001, 37.306633], [-121.84459600000002, 37.306759], [-121.84459400000003, 37.30676], [-121.84459300000003, 37.306762], [-121.84459200000003, 37.306763], [-121.84459200000003, 37.306765], [-121.84459099999998, 37.306767], [-121.84459200000003, 37.306769], [-121.84459200000003, 37.306771], [-121.84460100000001, 37.306795], [-121.84460100000001, 37.306796], [-121.844583, 37.306819], [-121.844582, 37.306821], [-121.844581, 37.306823], [-121.844581, 37.306825], [-121.844581, 37.306827], [-121.844582, 37.306829], [-121.844583, 37.306831], [-121.844584, 37.306832], [-121.844653, 37.306905], [-121.84592099999998, 37.308215], [-121.84592099999998, 37.308214], [-121.84592199999997, 37.308215], [-121.846314, 37.308617], [-121.846314, 37.308618]]]]}, ""properties"": {""State"": ""CA"", ""City"": ""San Jose"", ""County"": ""Santa Clara"", ""Neighborhood"": ""Albanese Circle"", ""Nextdoor ID"": 374270}}","['Walking', 'Hiking & Trails', 'Travel', 'Home Improvement & DIY', 'BBQ & Grilling', 'Camping', 'Cooking', 'Dogs', 'Biking & Cycling', 'Fishing']",0,0,0,"['Family Friendly', 'Atmosphere', 'Clean', 'Community', 'Convenient', 'Diversity', 'Dog Friendly', 'Friendly', 'Neighbors', 'Peaceful']","['Goodyear/Alma', 'Alvin/Burdette', 'Bevin  Brook', 'Garden/Villa  Monterey', 'Hillsdale', 'Kennedy', 'Kenwood', 'Lone  Bluff', 'Los  Arboles', 'Meadows', 'Rockspring', 'Stonegate  East', 'Stonegate West', 'Summerside', 'Sylvandale  West', 'Whaley', 'Windmill  Springs', 'Yerba Buena', 'Baltic Way', 'Corde Terra Circle', 'Lavender Terrace', 'Montecito Vista', 'Monterey Manor', 'Monterey Grove', 'Overfelt', 'Senterville Terrace', 'The Plant', 'Tuers Rd / Mclaughlin Ave', 'Tully Rd', 'Umbarger/Lewis']"
CA,Santa Clara,San Jose,Almaden,https://nextdoor.com/neighborhood/almadenca--san-jose--ca/,154788,"{""type"": ""Feature"", ""geometry"": {""type"": ""MultiPolygon"", ""coordinates"": [[[[-121.85795724071465, 37.218492584366864], [-121.8539393634257, 37.215703469208464], [-121.85037209725124, 37.2132047591771], [-121.8478080490637, 37.21104394753386], [-121.84628484160459, 37.2093710662332], [-121.84488851446633, 37.21011881240138], [-121.84439183110669, 37.21064020050304], [-121.84234703845357, 37.21600636715215], [-121.84184651304736, 37.216690495024956], [-121.84267636331253, 37.21749423079948], [-121.84462201252785, 37.22014338908703], [-121.84576919959142, 37.22069262441465], [-121.8478172953595, 37.22090684104555], [-121.84908107417584, 37.22171118215209], [-121.85102724600131, 37.22252342844158], [-121.852823214122, 37.222840158971614], [-121.8548916556428, 37.223661565781796], [-121.85812286877808, 37.22464051574562], [-121.85795724071465, 37.218492584366864]]]]}, ""properties"": {""State"": ""CA"", ""City"": ""San Jose"", ""County"": ""Santa Clara"", ""Neighborhood"": ""Almaden"", ""Nextdoor ID"": 154788}}","['Gardening & Landscape', 'Hiking & Trails', 'Walking', 'Cooking', 'Home Improvement & DIY', 'Books', 'Seeing Live Music', 'Dogs', 'Family Activities', 'Volunteering']",92,3267,57,"['Family Friendly', 'Friendly', 'Neighbors', 'Beautiful', 'Community', 'Clean', 'Safe', 'Walking', 'Dog Friendly', 'Quiet']","['Almaden - Williams', 'Almaden Hills Estates', 'Almaden Meadows', 'Almaden Mockingbird', 'Cahalan', 'Campton Chase', 'Canoas East', 'Canoas West', 'Country Club', 'Country View Estates', 'Crossgate', 'Crossgates Almaden', 'Glenview Serenity', 'Graystone', 'Jeffrey Fontana Park', 'Lake Calero', 'Los Alamitos', 'Mountain Shadows', 'New Almaden', 'Pierce Ranch', 'Sunrise Almaden', 'TJMPNA', 'Country View Custom Estates', 'East Santa Teresa Foothills', 'Graystone of Almaden', 'Graystone Hill', 'Singer Park', 'Vista De Graystone', 'West Santa Teresa Foothills']"
CA,Santa Clara,San Jose,Alvin/Burdette,https://nextdoor.com/neighborhood/7alvinburdette--san-jose--ca/,169900,"{""type"": ""Feature"", ""geometry"": {""type"": ""MultiPolygon"", ""coordinates"": [[[[-121.82596304578959, 37.32235961742892], [-121.82297662411077, 37.31935428408335], [-121.82250932327736, 37.31882279571472], [-121.82666975899366, 37.31600973876239], [-121.82708034504407, 37.316376120666064], [-121.82858783625022, 37.315420188333036], [-121.8315326253304, 37.31842936501589], [-121.82596304578959, 37.32235961742892]]]]}, ""properties"": {""State"": ""CA"", ""City"": ""San Jose"", ""County"": ""Santa Clara"", ""Neighborhood"": ""Alvin/Burdette"", ""Nextdoor ID"": 169900}}","['Cards & Board Games', 'Home Improvement & DIY', 'Animal Adoption', 'Baking', 'Cooking', 'Dogs', 'Gardening & Landscape', 'Hiking & Trails', 'Photography', 'Travel']",0,0,0,"['Community', 'Diversity', 'Friendly', 'Pool Cervice']","['Meadows', 'Stonegate  East', 'Stonegate West', 'Summerside', 'Whaley', 'Windmill  Springs', 'Yerba Buena', 'Edge', 'Leyva', 'Meadow Fair', 'Albanese Circle', 'Creekside of San Jose', 'Lion Villas', 'Overfelt', 'Silver Creek Mobile Home Estates II', 'Shadow Pines']"
CA,Santa Clara,San Jose,Alviso,https://nextdoor.com/neighborhood/4alviso--san-jose--ca/,170094,"{""type"": ""Feature"", ""geometry"": {""type"": ""MultiPolygon"", ""coordinates"": [[[[-121.9593939624807, 37.41918211484025], [-121.96842422158272, 37.41886539341981], [-121.96954903893891, 37.41875815828678], [-121.97090989068846, 37.41846346026979], [-121.97407878444187, 37.417233529519365], [-121.97613709964685, 37.41942082670093], [-121.97669337780349, 37.42017657105637], [-121.97703507923904, 37.42100047385781], [-121.97732900137498, 37.42248965202247], [-121.97790146238628, 37.4224854538024], [-121.97853910277104, 37.42291059851766], [-121.978854878074, 37.42381288670931], [-121.979535433803, 37.42650441247284], [-121.9800688307165, 37.4275774993507], [-121.98089342864841, 37.42845483407406], [-121.98210426467841, 37.429059524193484], [-121.98155238586128, 37.43006265765793], [-121.9751483670122, 37.42941321709678], [-121.9680939277539, 37.433999784781584], [-121.96462131624583, 37.43105233726098], [-121.96339929698001, 37.42980694950479], [-121.96349639052693, 37.42937168374819], [-121.9606803380725, 37.426981462424415], [-121.96421575656541, 37.422248032807694], [-121.96241640317845, 37.42085568237931], [-121.96169297951218, 37.42040321071577], [-121.9601112489612, 37.41967806783351], [-121.9593939624807, 37.41918211484025], [-121.9593939624807, 37.41918211484025]]]]}, ""properties"": {""State"": ""CA"", ""City"": ""San Jose"", ""County"": ""Santa Clara"", ""Neighborhood"": ""Alviso"", ""Nextdoor ID"": 170094}}","['Walking', 'Cooking', 'Dogs', 'Hiking & Trails', 'Home Improvement & DIY', 'Biking & Cycling', 'Gardening & Landscape', 'Books', 'Local History', 'Parenting Babies to 5 y/os']",68,4031,50,"['Historic', 'Peaceful', 'Charm', 'Different', 'Bay', 'Beautiful', 'Location', 'Nature', 'Quiet', 'Small']","['49ers-Backdoor-Community', 'California Impressions', 'Hermitage', 'California Renaissance', 'Adobe Wells MHP', 'Casa De Amigos', 'East Tasman - Zanker', 'EDD America’s Job Center', 'KB  Toscana', 'Lakewood Village', 'Lamplighter', 'Lawrence Station Road', 'Los Arboles', 'Moreland', 'Northpark', 'Oakcrest Estates', 'Oakmead', 'Orchard St', 'Primavera', 'Rivermark', 'Rivermark', 'West Tasman']"
CA,Santa Clara,San Jose,Anne Darling - Little Portugal North,https://nextdoor.com/neighborhood/3littleportugalnorth--san-jose--ca/,169885,"{""type"": ""Feature"", ""geometry"": {""type"": ""MultiPolygon"", ""coordinates"": [[[[-121.86862286784344, 37.35691202205406], [-121.86722189299451, 37.35784932241729], [-121.86706546312848, 37.35801910659143], [-121.86681766837069, 37.358388077002786], [-121.86665570430142, 37.3588764368943], [-121.86649374023227, 37.359245406842824], [-121.86621375896641, 37.35946940400584], [-121.86441920362046, 37.36037997405059], [-121.86382893840505, 37.360425034821695], [-121.8633680685906, 37.360634217293644], [-121.85555251912047, 37.352792794254924], [-121.86163410406323, 37.349914783833896], [-121.86296177462225, 37.35138269054655], [-121.86894598308373, 37.35672602033082], [-121.86862286784344, 37.35691202205406], [-121.86862286784344, 37.35691202205406]]]]}, ""properties"": {""State"": ""CA"", ""City"": ""San Jose"", ""County"": ""Santa Clara"", ""Neighborhood"": ""Anne Darling - Little Portugal North"", ""Nextdoor ID"": 169885}}","['Dogs', 'Cooking', 'Walking', 'Hiking & Trails', 'Camping', 'Dancing', 'BBQ & Grilling', 'Baking', 'Gardening & Landscape', 'Home Improvement & DIY']",37,2872,46,"['Walkability', 'Downtown', 'Family Friendly', 'Neighbors', 'Proximity', 'Quiet', 'Atmosphere', 'Beautiful', 'Convenient', 'Dog Friendly']","['Checkers', 'East Ct West Ct', 'El Rancho Verde', 'McKinley - Bonita', 'Northside', 'Olinder', 'Pine Hollow', 'Roosevelt', 'Wooster/Tripp', 'Commodore', 'Creekland', 'Gateway East', 'Mayfair', 'McKee/Jackson', 'Plata Arroyo', 'Berryessa', 'Betty Ann', 'Julian - St. James', 'King Rd', 'Lochridge/Independence', 'Onyx', 'Salamoni Pala Ranch', 'Silcreek', 'Villas of Mabury']"
CA,Santa Clara,San Jose,Arbuckle,https://nextdoor.com/neighborhood/5arbuckle--san-jose--ca/,170247,"{""type"": ""Feature"", ""geometry"": {""type"": ""MultiPolygon"", ""coordinates"": [[[[-121.83800196499124, 37.34346580754351], [-121.84040603677965, 37.34180430580487], [-121.84317944740297, 37.3399156279749], [-121.84646731928211, 37.34330155577572], [-121.84320570466156, 37.3458835433741], [-121.83996554771318, 37.34853367417408], [-121.83930026296082, 37.34915995078967], [-121.83882463554858, 37.3497713390784], [-121.8385868218424, 37.35016231949618], [-121.83813443141503, 37.351184423819156], [-121.8379699402484, 37.351940782083034], [-121.83789127977036, 37.35250950502485], [-121.83645784767157, 37.35100679182652], [-121.83270567251083, 37.347064966141836], [-121.83800196499124, 37.34346580754351], [-121.83800196499124, 37.34346580754351]]]]}, ""properties"": {""State"": ""CA"", ""City"": ""San Jose"", ""County"": ""Santa Clara"", ""Neighborhood"": ""Arbuckle"", ""Nextdoor ID"": 170247}}","['Family Activities', 'Walking', 'Dogs', 'Camping', 'Cooking', 'Books', 'Hiking & Trails', 'Home Improvement & DIY', 'Volunteering', 'Crafts & Sewing']",56,3797,52,"['Dog Friendly', 'Events', 'Family Friendly', 'Food', 'Community', 'Diversity', 'Freeway Access', 'Friendly', 'Neighbors', 'Safe']","['McKinley - Bonita', 'Capitol Goss/Dobern', 'Cassell', 'Dorsa', 'Gateway East', 'Lyndale', 'Markingdon', 'Mayfair', 'McKee/Jackson', 'Plata Arroyo', 'Ryan', 'Sierra', 'West of Capitol', 'Ferrari/Pinoche', 'Santee & Ferrari/Pinoche', 'Yerba Buena', 'Ocala', 'Overfelt', 'Senter Rd', 'Silcreek']"
CA,Santa Clara,San Jose,Archer - North 4th,https://nextdoor.com/neighborhood/archer4th--san-jose--ca/,261875,"{""type"": ""Feature"", ""geometry"": {""type"": ""MultiPolygon"", ""coordinates"": [[[[-121.91709306728467, 37.37180203500352], [-121.91639699431528, 37.37167409362509], [-121.91570092134606, 37.37147794096311], [-121.91379639402567, 37.370897960336755], [-121.91107037420926, 37.369993730172546], [-121.91009360239923, 37.36955013761005], [-121.90918120360556, 37.36895306244912], [-121.90512969939493, 37.36574874622059], [-121.90420797068055, 37.36513311001285], [-121.9033086508249, 37.3647033794839], [-121.90185333386745, 37.364167946020984], [-121.9024175489472, 37.36320480905992], [-121.90311051005978, 37.36237809860099], [-121.90468955133395, 37.360861091982315], [-121.90713953070218, 37.358389828570964], [-121.91709306728467, 37.37180203500352]]]]}, ""properties"": {""State"": ""CA"", ""City"": ""San Jose"", ""County"": ""Santa Clara"", ""Neighborhood"": ""Archer - North 4th"", ""Nextdoor ID"": 261875}}","['Hiking & Trails', 'Walking', 'Cards & Board Games', 'Volunteering', 'Cooking', 'Photography', 'Books', 'Baking', 'Bowling', 'Home Improvement & DIY']",58,2587,46,"['Food', 'Friendly', 'Clean', 'Community', 'Downtown', 'Events', 'Family Friendly', 'Neighbors', 'Transportation', 'Weather']","['Hensley', 'Horace Mann', 'Hyde Park', 'Japantown', 'Modern Ice', 'Northside', 'Rosemary Gardens', 'Vendome - Civic Center', 'California Gateway', 'McKay-Ringwood', 'North Flea Market', 'River Oaks', 'College Park', 'Newhall', 'Greater Rose Garden', 'Berryessa', 'Berryessa Crossing', 'Central San Jose - Coleman', 'EDD America’s Job Center', 'Hampton Park', 'North Side - Luna Park', 'Orchard Park', 'San Jose Gateway Place', 'St. James Park', 'The Sonora', 'Washington Park']"
CA,Santa Clara,San Jose,Ascent,https://nextdoor.com/neighborhood/ascentca--san-jose--ca/,440775,"{""type"": ""Feature"", ""geometry"": {""type"": ""MultiPolygon"", ""coordinates"": [[[[-121.8018776846353, 37.24293382473955], [-121.8020561783143, 37.24312449003614], [-121.8024351037275, 37.24381341573339], [-121.8026084731799, 37.2441450649637], [-121.8027702597586, 37.24426818492059], [-121.8030335432609, 37.24441515295153], [-121.803315388717, 37.24446728485743], [-121.803815727453, 37.24448908039719], [-121.8038155507842, 37.24846832174816], [-121.8011317259799, 37.2484707098278], [-121.8011446077801, 37.24579913082505], [-121.8011365003675, 37.2445750057826], [-121.8011429435198, 37.24383962661717], [-121.8009794041822, 37.24368865888198], [-121.7997215235664, 37.24333270878813], [-121.8000844481727, 37.24234195086663], [-121.8018776846353, 37.24293382473955]]]]}, ""properties"": {""State"": ""CA"", ""City"": ""San Jose"", ""County"": ""Santa Clara"", ""Neighborhood"": ""Ascent"", ""Nextdoor ID"": 440775}}","['Hiking & Trails', 'Walking', 'Cooking', 'Dogs', 'Seeing Live Music', 'Baking', 'Camping', 'Dinner Parties', 'Wine Tasting', 'Home Improvement & DIY']",0,0,0,"['Beautiful', 'Dog Friendly', 'Food', 'Freeway Access', 'Restaurants', 'Stores', 'Walkability', 'Community', 'Family Friendly', 'Neighbors']","['Avenida Espana', 'Basking Ridge', 'Blossom Valley', 'Calero', 'California Grove', 'Chantilley', 'Coyote Creek', 'Edenvale/Roundtable', 'Los Paseos', 'Makati', 'Metcalf', 'Oak Grove', 'Palmia', 'Rancho Santa Teresa', 'Santa Teresa', 'Silver Leaf', 'Ascent', 'AvenueOne', 'Cottle-Lean', 'East Santa Teresa Foothills', 'Monterey Grove', 'Piercy', 'Santa Teresa - Oak Ridge', 'Station 121']"
CA,Santa Clara,San Jose,Autumnvale,https://nextdoor.com/neighborhood/4autumnvale--san-jose--ca/,127407,"{""type"": ""Feature"", ""geometry"": {""type"": ""MultiPolygon"", ""coordinates"": [[[[-121.88585676951641, 37.402940467994384], [-121.88578446689024, 37.40349724318475], [-121.88566924891984, 37.403704585362924], [-121.88453759075009, 37.404843702068774], [-121.88364499122201, 37.40427569580587], [-121.88479835095018, 37.40312740899749], [-121.88506552111278, 37.402876893086], [-121.88585676951641, 37.402940467994384], [-121.88585676951641, 37.402940467994384]]]]}, ""properties"": {""State"": ""CA"", ""City"": ""San Jose"", ""County"": ""Santa Clara"", ""Neighborhood"": ""Autumnvale"", ""Nextdoor ID"": 127407}}","['Hiking & Trails', 'Seeing Live Music', 'Walking', 'Photography', 'Books', 'Family Activities', 'Swimming', 'Dancing', 'Road Trips', 'Running']",40,1017,42,"['Peaceful', 'Shopping', 'Location', 'Neighbors', 'Parks', 'Proximity', 'Schools', 'Transportation', 'Weather', 'Clean']","['Brooktree', 'California Gateway', 'Capewood', 'Cataldi', 'Cherrywood', 'Countrybrook/Lagoon', 'Courtyards/Villas at Lundy', 'Flickinger North', 'Gordy', 'Knights Bridge', 'McKay-Ringwood', 'Morrill', 'North Flea Market', 'Northwood', 'Old Port', 'Ruskin', 'Vinci North', 'Apex Centria', 'Avenue-Milpitas', 'Casa Del Lago Mobile Park', 'Great Mall', 'Hampton Park', 'Harmony', 'Highland Park', 'Luna Tera Serena', 'Mihalakis', 'Milpitas', 'Oakland Road', 'Pace', 'Snell', 'South Milpitas', 'Starlite Pines', 'Stonegate & French Court', 'Traditions-Contempo', 'Traverse']"
CA,Santa Clara,San Jose,Avana Skyway,https://nextdoor.com/neighborhood/avanaskyway--san-jose--ca/,322348,"{""type"": ""Feature"", ""geometry"": {""type"": ""MultiPolygon"", ""coordinates"": [[[[-121.8360515683695, 37.26602677202032], [-121.83610459616466, 37.268594418464495], [-121.83564294802147, 37.269459849542486], [-121.83517055787303, 37.26970890275868], [-121.8350307616426, 37.26954813424238], [-121.83474044034551, 37.26933759003701], [-121.83429927262011, 37.26907872226406], [-121.8331883202012, 37.268711473979835], [-121.83260308074921, 37.26847229522604], [-121.83218950267411, 37.268207501384175], [-121.8318325099317, 37.26790007233028], [-121.83162719147037, 37.26766951382514], [-121.83143906919531, 37.267377073816505], [-121.83124021808413, 37.26704194146938], [-121.83115365210756, 37.2666619745875], [-121.83111072948645, 37.26599701818959], [-121.83099270501282, 37.263684119568765], [-121.83831246442287, 37.26350892516025], [-121.83830308219552, 37.265999957023055], [-121.8360515683695, 37.26602677202032]]]]}, ""properties"": {""State"": ""CA"", ""City"": ""San Jose"", ""County"": ""Santa Clara"", ""Neighborhood"": ""Avana Skyway"", ""Nextdoor ID"": 322348}}","['Walking', 'Dogs', 'Hiking & Trails', 'Photography', 'Cards & Board Games', 'Cats', 'Cooking', 'Home Improvement & DIY', 'Seeing Live Music', 'Volunteering']",47,2114,43,"['Dog Friendly', 'Friendly', 'Clean', 'Family Friendly', 'Neighbors', 'Walking', 'Atmosphere', 'Community', 'Creek', 'Diversity']","['Berry Park', 'Blossom Hill Homes', 'Blossom Village', 'Carson', 'Colony  Green', 'Del Robles', 'Park Place', 'Parkview', 'Playa Del Rey', 'Vista  Park', 'Hayes', 'Oak Grove', 'San  Ramon', 'Rancho', 'Seven Trees', 'Bella Villagio', 'California Hawaiian Estates', 'Capitol Village - Baroni', 'Dolce Hayes', 'Eden Hill', 'Edenvale', 'Ellmar Oaks', 'Frontier Village', 'Havens-Monterey-Edenvale', 'River View Skyway', 'The Woods', 'Vistapark-Martial Cottle']"
